TransactionID,Date,CustomerID,ProductID,ProductCategory,ProductName,UnitCost,QuantitySold,TotalSale,PaymentMethod,StoreLocation
100001,2025-07-01,CUST0001,CPU001,CPU,AMD Ryzen 9 7950X3D,699.00,1,699.00,Credit Card,North End
100002,2025-07-01,CUST0002,RAM003,Memory,Corsair Vengeance 32GB DDR5,129.99,2,259.98,Debit Card,Downtown
100003,2025-07-01,CUST0003,SSD005,Storage,Samsung 990 Pro 2TB NVMe,169.50,1,169.50,Cash,Suburban Mall
100004,2025-07-02,CUST0004,MB002,Motherboard,ASUS ROG Strix B650E,299.99,1,299.99,Credit Card,North End
100005,2025-07-02,CUST0005,CASE001,Case,Lian Li O11 Dynamic EVO,179.00,1,179.00,Credit Card,Downtown
100006,2025-07-02,CUST0006,PSU004,Power Supply,Seasonic FOCUS GX-1000,159.99,1,159.99,Debit Card,Suburban Mall
100007,2025-07-03,CUST0007,GPU002,Graphics Card,AMD Radeon RX 7900 XT,799.00,1,799.00,Cash,North End
100008,2025-07-03,CUST0008,CPU003,CPU,Intel Core i5-14600K,319.99,1,319.99,Credit Card,Downtown
100009,2025-07-03,CUST0009,COOL001,Cooling,Noctua NH-D15,109.95,1,109.95,Credit Card,Suburban Mall
100010,2025-07-04,CUST0010,RAM001,Memory,G.SKILL Ripjaws 16GB DDR4,59.99,1,59.99,Debit Card,North End
100011,2025-07-04,CUST0011,SSD002,Storage,Crucial P5 Plus 1TB NVMe,89.99,2,179.98,Credit Card,Downtown
100012,2025-07-04,CUST0012,MON001,Monitor,LG 27GP850-B 1440p,399.99,1,399.99,Cash,Suburban Mall
100013,2025-07-05,CUST0013,GPU005,Graphics Card,NVIDIA RTX 4090,1599.00,1,1599.00,Credit Card,North End
100014,2025-07-05,CUST0014,MB004,Motherboard,Gigabyte Z790 AORUS ELITE,249.99,1,249.99,Credit Card,Downtown
100015,2025-07-05,CUST0015,CASE003,Case,Fractal Design Meshify 2,129.50,1,129.50,Debit Card,Suburban Mall
100016,2025-07-06,CUST0016,PSU001,Power Supply,Corsair RM850x,139.99,1,139.99,Credit Card,North End
100017,2025-07-06,CUST0017,COOL003,Cooling,NZXT Kraken Z73 AIO,249.95,1,249.95,Cash,Downtown
100018,2025-07-06,CUST0018,CPU001,CPU,AMD Ryzen 9 7950X3D,699.00,1,699.00,Credit Card,Suburban Mall
100019,2025-07-07,CUST0019,RAM003,Memory,Corsair Vengeance 32GB DDR5,129.99,4,519.96,Debit Card,North End
100020,2025-07-07,CUST0020,SSD005,Storage,Samsung 990 Pro 2TB NVMe,169.50,1,169.50,Credit Card,Downtown
100021,2025-07-07,CUST0021,ACC001,Accessory,Gaming Mouse Pad XXL,29.99,1,29.99,Cash,Suburban Mall
100022,2025-07-08,CUST0022,CPU002,CPU,Intel Core i9-14900K,589.00,1,589.00,Credit Card,North End
100023,2025-07-08,CUST0023,RAM002,Memory,Kingston Fury 64GB DDR5,199.99,1,199.99,Debit Card,Downtown
100024,2025-07-08,CUST0024,SSD001,Storage,Western Digital Black 4TB,299.00,1,299.00,Credit Card,Suburban Mall
100025,2025-07-09,CUST0025,GPU003,Graphics Card,NVIDIA RTX 4070 Ti,899.00,1,899.00,Cash,North End
100026,2025-07-09,CUST0026,MB001,Motherboard,MSI MAG B760 TOMAHAWK,189.50,1,189.50,Credit Card,Downtown
100027,2025-07-09,CUST0027,PSU002,Power Supply,EVGA SuperNOVA 850 GT,119.99,1,119.99,Debit Card,Suburban Mall
100028,2025-07-10,CUST0028,CASE002,Case,NZXT H7 Flow,129.00,1,129.00,Cash,North End
100029,2025-07-10,CUST0029,COOL002,Cooling,Deepcool AK620,64.99,2,129.98,Credit Card,Downtown
100030,2025-07-10,CUST0030,FAN001,Fan,Arctic P12 PWM 5-Pack,39.99,1,39.99,Credit Card,Suburban Mall
100031,2025-07-11,CUST0031,CPU004,CPU,AMD Ryzen 5 7600X,229.00,1,229.00,Debit Card,North End
100032,2025-07-11,CUST0032,RAM004,Memory,TeamGroup T-Force 16GB DDR5,79.99,2,159.98,Cash,Downtown
100033,2025-07-11,CUST0033,SSD003,Storage,PNY CS2140 1TB NVMe,69.50,1,69.50,Credit Card,Suburban Mall
100034,2025-07-12,CUST0034,GPU001,Graphics Card,NVIDIA RTX 4080,1199.00,1,1199.00,Credit Card,North End
100035,2025-07-12,CUST0035,MB003,Motherboard,ASRock B650M PG Lightning,199.99,1,199.99,Debit Card,Downtown
100036,2025-07-12,CUST0036,PSU003,Power Supply,Corsair SF750 (SFX),189.00,1,189.00,Cash,Suburban Mall
100037,2025-07-13,CUST0037,CASE004,Case,Cooler Master H500,99.99,1,99.99,Credit Card,North End
100038,2025-07-13,CUST0038,COOL004,Cooling,Lian Li Galahad AIO 360,149.95,1,149.95,Credit Card,Downtown
100039,2025-07-13,CUST0039,MON002,Monitor,Dell S2721QS 4K,349.99,1,349.99,Debit Card,Suburban Mall
100040,2025-07-14,CUST0040,ACC002,Accessory,Mechanical Keyboard TKL,89.50,1,89.50,Cash,North End
100041,2025-07-14,CUST0041,CPU001,CPU,AMD Ryzen 9 7950X3D,699.00,1,699.00,Credit Card,Downtown
100042,2025-07-14,CUST0042,RAM001,Memory,G.SKILL Ripjaws 16GB DDR4,59.99,2,119.98,Debit Card,Suburban Mall
100043,2025-07-15,CUST0043,SSD004,Storage,Samsung 870 EVO 1TB SATA,109.99,1,109.99,Credit Card,North End
100044,2025-07-15,CUST0044,GPU004,Graphics Card,AMD Radeon RX 7800 XT,549.00,1,549.00,Cash,Downtown
100045,2025-07-15,CUST0045,PSU005,Power Supply,Cooler Master MWE 750W,89.99,1,89.99,Credit Card,Suburban Mall
100046,2025-07-16,CUST0046,MB005,Motherboard,Gigabyte B650 GAMING X AX,179.00,1,179.00,Debit Card,North End
100047,2025-07-16,CUST0047,COOL001,Cooling,Noctua NH-D15,109.95,1,109.95,Credit Card,Downtown
100048,2025-07-16,CUST0048,FAN002,Fan,Corsair LL120 RGB Single,34.99,3,104.97,Cash,Suburban Mall
100049,2025-07-17,CUST0049,CPU003,CPU,Intel Core i5-14600K,319.99,1,319.99,Credit Card,North End
100050,2025-07-17,CUST0050,RAM003,Memory,Corsair Vengeance 32GB DDR5,129.99,1,129.99,Credit Card,Downtown
100051,2025-07-17,CUST0051,SSD005,Storage,Samsung 990 Pro 2TB NVMe,169.50,1,169.50,Debit Card,Suburban Mall
100052,2025-07-18,CUST0052,CASE001,Case,Lian Li O11 Dynamic EVO,179.00,1,179.00,Cash,North End
100053,2025-07-18,CUST0053,GPU005,Graphics Card,NVIDIA RTX 4090,1599.00,1,1599.00,Credit Card,Downtown
100054,2025-07-18,CUST0054,PSU004,Power Supply,Seasonic FOCUS GX-1000,159.99,1,159.99,Credit Card,Suburban Mall
100055,2025-07-19,CUST0055,ACC003,Accessory,Webcam 1080p HD,49.99,2,99.98,Debit Card,North End
100056,2025-07-19,CUST0056,CPU002,CPU,Intel Core i9-14900K,589.00,1,589.00,Cash,Downtown
100057,2025-07-19,CUST0057,RAM002,Memory,Kingston Fury 64GB DDR5,199.99,1,199.99,Credit Card,Suburban Mall
100058,2025-07-20,CUST0058,SSD001,Storage,Western Digital Black 4TB,299.00,1,299.00,Credit Card,North End
100059,2025-07-20,CUST0059,MON001,Monitor,LG 27GP850-B 1440p,399.99,1,399.99,Debit Card,Downtown
100060,2025-07-20,CUST0060,GPU002,Graphics Card,AMD Radeon RX 7900 XT,799.00,1,799.00,Cash,Suburban Mall
100061,2025-07-21,CUST0061,MB001,Motherboard,MSI MAG B760 TOMAHAWK,189.50,1,189.50,Credit Card,North End
100062,2025-07-21,CUST0062,PSU001,Power Supply,Corsair RM850x,139.99,1,139.99,Credit Card,Downtown
100063,2025-07-21,CUST0063,COOL002,Cooling,Deepcool AK620,64.99,1,64.99,Debit Card,Suburban Mall
100064,2025-07-22,CUST0064,CPU004,CPU,AMD Ryzen 5 7600X,229.00,1,229.00,Cash,North End
100065,2025-07-22,CUST0065,RAM004,Memory,TeamGroup T-Force 16GB DDR5,79.99,1,79.99,Credit Card,Downtown
100066,2025-07-22,CUST0066,SSD003,Storage,PNY CS2140 1TB NVMe,69.50,3,208.50,Credit Card,Suburban Mall
100067,2025-07-23,CUST0067,GPU001,Graphics Card,NVIDIA RTX 4080,1199.00,1,1199.00,Debit Card,North End
100068,2025-07-23,CUST0068,MB003,Motherboard,ASRock B650M PG Lightning,199.99,1,199.99,Cash,Downtown
100069,2025-07-23,CUST0069,PSU003,Power Supply,Corsair SF750 (SFX),189.00,1,189.00,Credit Card,Suburban Mall
100070,2025-07-24,CUST0070,CASE004,Case,Cooler Master H500,99.99,1,99.99,Credit Card,North End
100071,2025-07-24,CUST0071,COOL004,Cooling,Lian Li Galahad AIO 360,149.95,1,149.95,Debit Card,Downtown
100072,2025-07-24,CUST0072,FAN001,Fan,Arctic P12 PWM 5-Pack,39.99,2,79.98,Cash,Suburban Mall
100073,2025-07-25,CUST0073,ACC004,Accessory,Ergonomic Chair,299.00,1,299.00,Credit Card,North End
100074,2025-07-25,CUST0074,CPU005,CPU,Intel Core i7-14700K,419.00,1,419.00,Credit Card,Downtown
100075,2025-07-25,CUST0075,RAM005,Memory,Crucial Pro 32GB DDR4,89.50,1,89.50,Debit Card,Suburban Mall
100076,2025-07-26,CUST0076,SSD006,Storage,Samsung T7 Portable 1TB,119.99,1,119.99,Cash,North End
100077,2025-07-26,CUST0077,GPU006,Graphics Card,NVIDIA RTX 4060,329.00,1,329.00,Credit Card,Downtown
100078,2025-07-26,CUST0078,MB006,Motherboard,ASUS PRIME Z790-P WIFI,219.00,1,219.00,Credit Card,Suburban Mall
100079,2025-07-27,CUST0079,PSU006,Power Supply,Thermaltake Toughpower GF1 750W,99.99,1,99.99,Debit Card,North End
100080,2025-07-27,CUST0080,CASE005,Case,Corsair 4000D Airflow,94.99,1,94.99,Cash,Downtown
100081,2025-07-27,CUST0081,COOL005,Cooling,be quiet! Dark Rock Pro 4,89.95,1,89.95,Credit Card,Suburban Mall
100082,2025-07-28,CUST0082,MON003,Monitor,AOC C24G1 1080p Curved,179.99,2,359.98,Credit Card,North End
100083,2025-07-28,CUST0083,ACC005,Accessory,Wireless Headset,149.00,1,149.00,Debit Card,Downtown
100084,2025-07-28,CUST0084,CPU001,CPU,AMD Ryzen 9 7950X3D,699.00,1,699.00,Cash,Suburban Mall
100085,2025-07-29,CUST0085,RAM003,Memory,Corsair Vengeance 32GB DDR5,129.99,1,129.99,Credit Card,North End
100086,2025-07-29,CUST0086,SSD005,Storage,Samsung 990 Pro 2TB NVMe,169.50,1,169.50,Credit Card,Downtown
100087,2025-07-29,CUST0087,GPU003,Graphics Card,NVIDIA RTX 4070 Ti,899.00,1,899.00,Debit Card,Suburban Mall
100088,2025-07-30,CUST0088,MB002,Motherboard,ASUS ROG Strix B650E,299.99,1,299.99,Cash,North End
100089,2025-07-30,CUST0089,PSU004,Power Supply,Seasonic FOCUS GX-1000,159.99,1,159.99,Credit Card,Downtown
100090,2025-07-30,CUST0090,CASE001,Case,Lian Li O11 Dynamic EVO,179.00,1,179.00,Credit Card,Suburban Mall
100091,2025-07-31,CUST0091,COOL001,Cooling,Noctua NH-D15,109.95,1,109.95,Debit Card,North End
100092,2025-07-31,CUST0092,FAN002,Fan,Corsair LL120 RGB Single,34.99,5,174.95,Cash,Downtown
100093,2025-07-31,CUST0093,CPU003,CPU,Intel Core i5-14600K,319.99,1,319.99,Credit Card,Suburban Mall
100094,2025-08-01,CUST0094,RAM001,Memory,G.SKILL Ripjaws 16GB DDR4,59.99,1,59.99,Credit Card,North End
100095,2025-08-01,CUST0095,SSD002,Storage,Crucial P5 Plus 1TB NVMe,89.99,1,89.99,Debit Card,Downtown
100096,2025-08-01,CUST0096,MON001,Monitor,LG 27GP850-B 1440p,399.99,1,399.99,Cash,Suburban Mall
100097,2025-08-02,CUST0097,GPU005,Graphics Card,NVIDIA RTX 4090,1599.00,1,1599.00,Credit Card,North End
100098,2025-08-02,CUST0098,MB004,Motherboard,Gigabyte Z790 AORUS ELITE,249.99,1,249.99,Credit Card,Downtown
100099,2025-08-02,CUST0099,CASE003,Case,Fractal Design Meshify 2,129.50,1,129.50,Debit Card,Suburban Mall
100100,2025-08-03,CUST0100,PSU001,Power Supply,Corsair RM850x,139.99,1,139.99,Cash,North End
100101,2025-08-03,CUST0101,COOL003,Cooling,NZXT Kraken Z73 AIO,249.95,1,249.95,Credit Card,Downtown
100102,2025-08-03,CUST0102,CPU001,CPU,AMD Ryzen 9 7950X3D,699.00,1,699.00,Credit Card,Suburban Mall
100103,2025-08-04,CUST0103,RAM003,Memory,Corsair Vengeance 32GB DDR5,129.99,2,259.98,Debit Card,North End
100104,2025-08-04,CUST0104,SSD005,Storage,Samsung 990 Pro 2TB NVMe,169.50,1,169.50,Cash,Downtown
100105,2025-08-04,CUST0105,ACC001,Accessory,Gaming Mouse Pad XXL,29.99,3,89.97,Credit Card,Suburban Mall
100106,2025-08-05,CUST0106,CPU002,CPU,Intel Core i9-14900K,589.00,1,589.00,Credit Card,North End
100107,2025-08-05,CUST0107,RAM002,Memory,Kingston Fury 64GB DDR5,199.99,1,199.99,Debit Card,Downtown
100108,2025-08-05,CUST0108,SSD001,Storage,Western Digital Black 4TB,299.00,1,299.00,Cash,Suburban Mall
100109,2025-08-06,CUST0109,GPU003,Graphics Card,NVIDIA RTX 4070 Ti,899.00,1,899.00,Credit Card,North End
100110,2025-08-06,CUST0110,MB001,Motherboard,MSI MAG B760 TOMAHAWK,189.50,1,189.50,Credit Card,Downtown
100111,2025-08-06,CUST0111,PSU002,Power Supply,EVGA SuperNOVA 850 GT,119.99,1,119.99,Debit Card,Suburban Mall
100112,2025-08-07,CUST0112,CASE002,Case,NZXT H7 Flow,129.00,1,129.00,Cash,North End
100113,2025-08-07,CUST0113,COOL002,Cooling,Deepcool AK620,64.99,1,64.99,Credit Card,Downtown
100114,2025-08-07,CUST0114,FAN001,Fan,Arctic P12 PWM 5-Pack,39.99,1,39.99,Credit Card,Suburban Mall
100115,2025-08-08,CUST0115,CPU004,CPU,AMD Ryzen 5 7600X,229.00,2,458.00,Debit Card,North End
100116,2025-08-08,CUST0116,RAM004,Memory,TeamGroup T-Force 16GB DDR5,79.99,1,79.99,Cash,Downtown
100117,2025-08-08,CUST0117,SSD003,Storage,PNY CS2140 1TB NVMe,69.50,1,69.50,Credit Card,Suburban Mall
100118,2025-08-09,CUST0118,GPU001,Graphics Card,NVIDIA RTX 4080,1199.00,1,1199.00,Credit Card,North End
100119,2025-08-09,CUST0119,MB003,Motherboard,ASRock B650M PG Lightning,199.99,1,199.99,Debit Card,Downtown
100120,2025-08-09,CUST0120,PSU003,Power Supply,Corsair SF750 (SFX),189.00,1,189.00,Cash,Suburban Mall
100121,2025-08-10,CUST0121,CASE004,Case,Cooler Master H500,99.99,1,99.99,Credit Card,North End
100122,2025-08-10,CUST0122,COOL004,Cooling,Lian Li Galahad AIO 360,149.95,1,149.95,Credit Card,Downtown
100123,2025-08-10,CUST0123,MON002,Monitor,Dell S2721QS 4K,349.99,1,349.99,Debit Card,Suburban Mall
100124,2025-08-11,CUST0124,ACC002,Accessory,Mechanical Keyboard TKL,89.50,1,89.50,Cash,North End
100125,2025-08-11,CUST0125,CPU005,CPU,Intel Core i7-14700K,419.00,1,419.00,Credit Card,Downtown
100126,2025-08-11,CUST0126,RAM005,Memory,Crucial Pro 32GB DDR4,89.50,2,179.00,Credit Card,Suburban Mall
100127,2025-08-12,CUST0127,SSD006,Storage,Samsung T7 Portable 1TB,119.99,1,119.99,Debit Card,North End
100128,2025-08-12,CUST0128,GPU006,Graphics Card,NVIDIA RTX 4060,329.00,1,329.00,Cash,Downtown
100129,2025-08-12,CUST0129,MB006,Motherboard,ASUS PRIME Z790-P WIFI,219.00,1,219.00,Credit Card,Suburban Mall
100130,2025-08-13,CUST0130,PSU006,Power Supply,Thermaltake Toughpower GF1 750W,99.99,1,99.99,Credit Card,North End
100131,2025-08-13,CUST0131,CASE005,Case,Corsair 4000D Airflow,94.99,1,94.99,Debit Card,Downtown
100132,2025-08-13,CUST0132,COOL005,Cooling,be quiet! Dark Rock Pro 4,89.95,1,89.95,Cash,Suburban Mall
100133,2025-08-14,CUST0133,MON003,Monitor,AOC C24G1 1080p Curved,179.99,1,179.99,Credit Card,North End
100134,2025-08-14,CUST0134,ACC005,Accessory,Wireless Headset,149.00,1,149.00,Credit Card,Downtown
100135,2025-08-14,CUST0135,CPU002,CPU,Intel Core i9-14900K,589.00,1,589.00,Debit Card,Suburban Mall
100136,2025-08-15,CUST0136,RAM003,Memory,Corsair Vengeance 32GB DDR5,129.99,1,129.99,Cash,North End
100137,2025-08-15,CUST0137,SSD005,Storage,Samsung 990 Pro 2TB NVMe,169.50,1,169.50,Credit Card,Downtown
100138,2025-08-15,CUST0138,GPU003,Graphics Card,NVIDIA RTX 4070 Ti,899.00,1,899.00,Credit Card,Suburban Mall
100139,2025-08-16,CUST0139,MB002,Motherboard,ASUS ROG Strix B650E,299.99,1,299.99,Debit Card,North End
100140,2025-08-16,CUST0140,PSU004,Power Supply,Seasonic FOCUS GX-1000,159.99,1,159.99,Cash,Downtown
100141,2025-08-16,CUST0141,CASE001,Case,Lian Li O11 Dynamic EVO,179.00,1,179.00,Credit Card,Suburban Mall
100142,2025-08-17,CUST0142,COOL001,Cooling,Noctua NH-D15,109.95,2,219.90,Credit Card,North End
100143,2025-08-17,CUST0143,FAN002,Fan,Corsair LL120 RGB Single,34.99,1,34.99,Debit Card,Downtown
100144,2025-08-17,CUST0144,CPU003,CPU,Intel Core i5-14600K,319.99,1,319.99,Cash,Suburban Mall
100145,2025-08-18,CUST0145,RAM001,Memory,G.SKILL Ripjaws 16GB DDR4,59.99,1,59.99,Credit Card,North End
100146,2025-08-18,CUST0146,SSD002,Storage,Crucial P5 Plus 1TB NVMe,89.99,1,89.99,Credit Card,Downtown
100147,2025-08-18,CUST0147,MON001,Monitor,LG 27GP850-B 1440p,399.99,1,399.99,Debit Card,Suburban Mall
100148,2025-08-19,CUST0148,GPU005,Graphics Card,NVIDIA RTX 4090,1599.00,1,1599.00,Cash,North End
100149,2025-08-19,CUST0149,MB004,Motherboard,Gigabyte Z790 AORUS ELITE,249.99,1,249.99,Credit Card,Downtown
100150,2025-08-19,CUST0150,CASE003,Case,Fractal Design Meshify 2,129.50,1,129.50,Credit Card,Suburban Mall
100151,2025-08-20,CUST0151,PSU001,Power Supply,Corsair RM850x,139.99,1,139.99,Debit Card,North End
100152,2025-08-20,CUST0152,COOL003,Cooling,NZXT Kraken Z73 AIO,249.95,1,249.95,Cash,Downtown
100153,2025-08-20,CUST0153,CPU004,CPU,AMD Ryzen 5 7600X,229.00,1,229.00,Credit Card,Suburban Mall
100154,2025-08-21,CUST0154,RAM004,Memory,TeamGroup T-Force 16GB DDR5,79.99,2,159.98,Credit Card,North End
100155,2025-08-21,CUST0155,SSD003,Storage,PNY CS2140 1TB NVMe,69.50,1,69.50,Debit Card,Downtown
100156,2025-08-21,CUST0156,GPU001,Graphics Card,NVIDIA RTX 4080,1199.00,1,1199.00,Cash,Suburban Mall
100157,2025-08-22,CUST0157,MB003,Motherboard,ASRock B650M PG Lightning,199.99,1,199.99,Credit Card,North End
100158,2025-08-22,CUST0158,PSU003,Power Supply,Corsair SF750 (SFX),189.00,1,189.00,Credit Card,Downtown
100159,2025-08-22,CUST0159,CASE004,Case,Cooler Master H500,99.99,1,99.99,Debit Card,Suburban Mall
100160,2025-08-23,CUST0160,COOL004,Cooling,Lian Li Galahad AIO 360,149.95,1,149.95,Cash,North End
100161,2025-08-23,CUST0161,MON002,Monitor,Dell S2721QS 4K,349.99,1,349.99,Credit Card,Downtown
100162,2025-08-23,CUST0162,ACC002,Accessory,Mechanical Keyboard TKL,89.50,2,179.00,Credit Card,Suburban Mall
100163,2025-08-24,CUST0163,CPU005,CPU,Intel Core i7-14700K,419.00,1,419.00,Debit Card,North End
100164,2025-08-24,CUST0164,RAM005,Memory,Crucial Pro 32GB DDR4,89.50,1,89.50,Cash,Downtown
100165,2025-08-24,CUST0165,SSD006,Storage,Samsung T7 Portable 1TB,119.99,1,119.99,Credit Card,Suburban Mall
100166,2025-08-25,CUST0166,GPU006,Graphics Card,NVIDIA RTX 4060,329.00,1,329.00,Credit Card,North End
100167,2025-08-25,CUST0167,MB006,Motherboard,ASUS PRIME Z790-P WIFI,219.00,1,219.00,Debit Card,Downtown
100168,2025-08-25,CUST0168,PSU006,Power Supply,Thermaltake Toughpower GF1 750W,99.99,1,99.99,Cash,Suburban Mall
100169,2025-08-26,CUST0169,CASE005,Case,Corsair 4000D Airflow,94.99,1,94.99,Credit Card,North End
100170,2025-08-26,CUST0170,COOL005,Cooling,be quiet! Dark Rock Pro 4,89.95,1,89.95,Credit Card,Downtown
100171,2025-08-26,CUST0171,MON003,Monitor,AOC C24G1 1080p Curved,179.99,1,179.99,Debit Card,Suburban Mall
100172,2025-08-27,CUST0172,ACC005,Accessory,Wireless Headset,149.00,1,149.00,Cash,North End
100173,2025-08-27,CUST0173,CPU002,CPU,Intel Core i9-14900K,589.00,1,589.00,Credit Card,Downtown
100174,2025-08-27,CUST0174,RAM003,Memory,Corsair Vengeance 32GB DDR5,129.99,1,129.99,Credit Card,Suburban Mall
100175,2025-08-28,CUST0175,SSD005,Storage,Samsung 990 Pro 2TB NVMe,169.50,1,169.50,Debit Card,North End
100176,2025-08-28,CUST0176,GPU003,Graphics Card,NVIDIA RTX 4070 Ti,899.00,1,899.00,Cash,Downtown
100177,2025-08-28,CUST0177,MB002,Motherboard,ASUS ROG Strix B650E,299.99,1,299.99,Credit Card,Suburban Mall
100178,2025-08-29,CUST0178,PSU004,Power Supply,Seasonic FOCUS GX-1000,159.99,1,159.99,Credit Card,North End
100179,2025-08-29,CUST0179,CASE001,Case,Lian Li O11 Dynamic EVO,179.00,1,179.00,Debit Card,Downtown
100180,2025-08-29,CUST0180,COOL001,Cooling,Noctua NH-D15,109.95,1,109.95,Cash,Suburban Mall
100181,2025-08-30,CUST0181,FAN002,Fan,Corsair LL120 RGB Single,34.99,4,139.96,Credit Card,North End
100182,2025-08-30,CUST0182,CPU003,CPU,Intel Core i5-14600K,319.99,1,319.99,Credit Card,Downtown
100183,2025-08-30,CUST0183,RAM001,Memory,G.SKILL Ripjaws 16GB DDR4,59.99,1,59.99,Debit Card,Suburban Mall
100184,2025-08-31,CUST0184,SSD002,Storage,Crucial P5 Plus 1TB NVMe,89.99,1,89.99,Cash,North End
100185,2025-08-31,CUST0185,MON001,Monitor,LG 27GP850-B 1440p,399.99,1,399.99,Credit Card,Downtown
100186,2025-08-31,CUST0186,GPU005,Graphics Card,NVIDIA RTX 4090,1599.00,1,1599.00,Credit Card,Suburban Mall
100187,2025-09-01,CUST0187,MB004,Motherboard,Gigabyte Z790 AORUS ELITE,249.99,1,249.99,Debit Card,North End
100188,2025-09-01,CUST0188,CASE003,Case,Fractal Design Meshify 2,129.50,1,129.50,Cash,Downtown
100189,2025-09-01,CUST0189,PSU001,Power Supply,Corsair RM850x,139.99,1,139.99,Credit Card,Suburban Mall
100190,2025-09-02,CUST0190,COOL003,Cooling,NZXT Kraken Z73 AIO,249.95,1,249.95,Credit Card,North End
100191,2025-09-02,CUST0191,CPU001,CPU,AMD Ryzen 9 7950X3D,699.00,1,699.00,Debit Card,Downtown
100192,2025-09-02,CUST0192,RAM003,Memory,Corsair Vengeance 32GB DDR5,129.99,1,129.99,Cash,Suburban Mall
100193,2025-09-03,CUST0193,SSD005,Storage,Samsung 990 Pro 2TB NVMe,169.50,2,339.00,Credit Card,North End
100194,2025-09-03,CUST0194,ACC001,Accessory,Gaming Mouse Pad XXL,29.99,1,29.99,Credit Card,Downtown
100195,2025-09-03,CUST0195,CPU002,CPU,Intel Core i9-14900K,589.00,1,589.00,Debit Card,Suburban Mall
100196,2025-09-04,CUST0196,RAM002,Memory,Kingston Fury 64GB DDR5,199.99,1,199.99,Cash,North End
100197,2025-09-04,CUST0197,SSD001,Storage,Western Digital Black 4TB,299.00,1,299.00,Credit Card,Downtown
100198,2025-09-04,CUST0198,GPU003,Graphics Card,NVIDIA RTX 4070 Ti,899.00,1,899.00,Credit Card,Suburban Mall
100199,2025-09-05,CUST0199,MB001,Motherboard,MSI MAG B760 TOMAHAWK,189.50,1,189.50,Debit Card,North End
100200,2025-09-05,CUST0200,PSU002,Power Supply,EVGA SuperNOVA 850 GT,119.99,1,119.99,Cash,Downtown